epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.7948406017479677,0.5353351601538213,0.7593963833137325,0.7628960943257185,0.001
2,0.9401606433305432,0.7388491030925461,0.45588778557534504,0.8651436993367723,0.001
3,0.6792545960602102,0.8117070025560136,0.33447633386440656,0.8914885777450258,0.001
4,0.5453991569070985,0.8495406083772769,0.23231575107883257,0.9277818717759764,0.001
5,0.46440957701069735,0.8714624542335413,0.2551291511390995,0.9229918938835667,0.001
6,0.4167731261835548,0.8857162594699151,0.21525876593056967,0.9386514369933677,0.001
7,0.3651949366837798,0.8991871416399936,0.17581411367834662,0.9463890935887989,0.001
8,0.33027986967786255,0.9111612591245078,0.17807067728076112,0.9502579218865144,0.001
9,0.30792995412540786,0.9169410735256868,0.18526320022481857,0.9561532792925571,0.001
10,0.2980216360393391,0.9218458562645359,0.15150107258158915,0.9614959469417833,0.001
11,0.27442823663502497,0.9262900960232113,0.1816849885384353,0.9578113485630066,0.001
12,0.2686786095262218,0.9305961728878348,0.13729014357956598,0.9614959469417833,0.001
13,0.2594444674018556,0.9312179059110691,0.1391136658022904,0.9649963154016212,0.001
14,0.24213256327427268,0.9393464895111336,0.12850081695902452,0.9661016949152542,0.001
15,0.23564287223509717,0.939830059640316,0.13300327113937485,0.9686809137803979,0.001
16,0.2298093116009152,0.9427084532664011,0.14002369988777164,0.9655490051584378,0.001
17,0.21742382871985,0.9450341953162779,0.15226529789928336,0.9655490051584378,0.0005
18,0.14817653111433834,0.9622354756257627,0.10334190180154101,0.9784450994841563,0.0005
19,0.13154793637148007,0.968936375987289,0.11456717786082747,0.9788135593220338,0.0005
20,0.1295222957382187,0.9702258963317751,0.10727641803559346,0.9795504789977892,0.0005
