epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.23748259496268986,0.9491790821378405,0.03892820431592112,0.9880250552689757,0.0001
2,0.05376345806627931,0.9854698689755221,0.028172646015078382,0.9894988946204863,0.0001
3,0.038823005058477654,0.9894075114560066,0.022699472530638972,0.9931834929992631,0.0001
4,0.031108890659131357,0.9917793078039008,0.016668749839783118,0.9946573323507738,0.0001
5,0.024227234562989006,0.9930688281483869,0.04108269692522818,0.9896831245394252,0.0001
6,0.025073677948957204,0.9935523982775692,0.026588781634483704,0.9929992630803243,0.0001
7,0.02041949700479875,0.9944274299398992,0.02407576440314614,0.9929992630803243,5e-05
8,0.007274768818706605,0.9978815022912013,0.01776057494582131,0.9957627118644068,5e-05
9,0.005823674909926989,0.9981578280793055,0.011293400551577773,0.9983419307295505,5e-05
10,0.00505473386744959,0.9987335068045226,0.010439967671206848,0.9972365512159175,5e-05
11,0.005697662145576506,0.9985723167614617,0.00897856726881522,0.9976050110537952,5e-05
12,0.005231061430176339,0.9985723167614617,0.011824126465323392,0.9983419307295505,5e-05
13,0.005836557667040743,0.9982499366753402,0.009768217449568328,0.9981577008106116,5e-05
14,0.004399931783475599,0.9988946968475833,0.014942798691749356,0.9961311717022845,2.5e-05
15,0.0017006033900415112,0.999493402721809,0.009240158477242933,0.9981577008106116,2.5e-05
16,0.0014636111314706793,0.9995624841688351,0.011687623347291882,0.9979734708916728,2.5e-05
