epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,3.856924661993912,0.15488060423239,3.067568181627536,0.2256816507000737,0.001
2,3.2761857455315946,0.20190204250811708,2.7386361473873424,0.27984524686809137,0.001
3,3.084653582774863,0.21809012826121998,2.482214429664893,0.3522476050110538,0.001
4,2.9677886891464422,0.23282750362677596,2.3441094379040277,0.37177597641857035,0.001
5,2.8805456319119798,0.24072581573675364,2.25298276242739,0.3936993367722918,0.001
6,2.7640132809897517,0.2649273493448776,1.8886062243271156,0.5027634487840825,0.001
7,2.643815439943754,0.2876321182674373,1.7462702881525611,0.5464259395725866,0.001
8,2.553203465242588,0.30589264743132155,1.542480387578752,0.6164333087693441,0.001
9,2.378595530430913,0.329334285122159,1.349135189155884,0.6573323507737656,0.001
10,2.26519235163947,0.36270062403573816,1.2563740983687741,0.6842299189388357,0.001
11,2.208496861573446,0.37409906279503535,1.1215023277279377,0.7192336035372144,0.001
12,2.1624812755808276,0.3924286734059456,1.100651914148654,0.7323139277818718,0.001
13,2.0485291276456934,0.4160084739908352,1.017788360673624,0.74207811348563,0.001
14,1.9792589082997232,0.43468349183687566,0.9350225482212878,0.7805821665438467,0.001
15,1.8566443414332572,0.4728394777442605,0.749340683438691,0.827376565954311,0.001
16,1.6794708542604517,0.5205056761922306,0.7244417233695946,0.8231392778187178,0.001
17,1.6002480818715445,0.5415524903861653,0.6512007510647118,0.8382461311717023,0.001
18,1.5526643256894936,0.5501416169664034,0.6327393583405362,0.8443257184966838,0.001
19,1.4789871194226376,0.5698758836668432,0.5706202129024583,0.8511422254974208,0.001
20,1.4265828604119195,0.5795472862504893,0.5256268937895987,0.8693809874723655,0.001
