epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.6920837511091653,0.5526515762083496,0.6631911487357008,0.8078481945467944,0.001
2,1.0093856620506383,0.7209800354618094,0.5230916172146588,0.8411938098747237,0.001
3,0.8161506644651783,0.7732977180095333,0.4553358155407709,0.856484893146647,0.001
4,0.6928317524424286,0.8048909664494439,0.3326214669374735,0.8999631540162122,0.001
5,0.6157073951715657,0.828793147120455,0.31525806214539615,0.9075165806927045,0.001
6,0.5608291384103338,0.844981232873558,0.23507867528979412,0.9287030213706706,0.001
7,0.5072332586053685,0.8586823865337233,0.2573097575776411,0.924834193072955,0.001
8,0.46788745723121067,0.8691367121836645,0.21282671765267233,0.9403095062638173,0.001
9,0.4451248658395976,0.8793147120455016,0.2083091260723243,0.9397568165070007,0.001
10,0.41981557582153317,0.885578096575863,0.21376189079038116,0.9379145173176123,0.001
11,0.39913258542720986,0.8902295806756165,0.19180649413001494,0.9436256448047163,0.001
12,0.37846459883011946,0.8966771823980473,0.22247420076180288,0.9369933677229182,0.001
13,0.3592271161085034,0.9006148248785318,0.20931975818846538,0.9458364038319823,0.001
14,0.34999589969601963,0.9042300872728948,0.20010677536165578,0.9495210022107591,0.0005
15,0.25408231262648057,0.9297211412255049,0.13310418494764734,0.9664701547531319,0.0005
16,0.22999125780353677,0.9371128560572916,0.14101029087016304,0.9672070744288872,0.0005
17,0.2255386793478343,0.9397379510442813,0.1454112281521364,0.9627855563743551,0.0005
18,0.2132932740540663,0.943652566375757,0.1487716722886073,0.9655490051584378,0.00025
19,0.16948768504306735,0.9532548875123771,0.13825415665167115,0.9718128224023581,0.00025
20,0.16586919513313333,0.9555115481152279,0.12113517673086997,0.9745762711864406,0.00025
