epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.7374191362194011,0.5441315310751376,0.6875341952158661,0.7938467207074429,0.001
2,1.0308410639152323,0.7119303659013978,0.4530490177224391,0.86551215917465,0.001
3,0.8193926144047566,0.7713173831947866,0.4015993018340126,0.878960943257185,0.001
4,0.6977447949168964,0.8048679393004352,0.3307121119145136,0.8949889462048637,0.001
5,0.6194404472706767,0.8279641697561425,0.2878927300799843,0.9110169491525424,0.001
6,0.5492334082638983,0.8472378934764087,0.27289843661848767,0.9174649963154016,0.001
7,0.5102043963208204,0.8568402146130287,0.22465972442945614,0.931650700073692,0.001
8,0.4818785306176334,0.8674327031570221,0.2048238171768538,0.9379145173176123,0.001
9,0.45844286881021973,0.8756994496511387,0.20412738723469337,0.9403095062638173,0.001
10,0.43539647755030386,0.878854169065328,0.20720339552528758,0.9415991156963891,0.001
11,0.4246318470186131,0.88405830474129,0.2097522541789779,0.9404937361827561,0.001
12,0.4039719651247983,0.8885946530960002,0.2182915598025842,0.9358879882092852,0.0005
13,0.2999519435398693,0.915766688926244,0.17357996880282664,0.9524686809137805,0.0005
14,0.2739319827188206,0.9236650010362217,0.14231802784967051,0.9648120854826824,0.0005
15,0.2692291621117843,0.9283625394339927,0.13118832893167823,0.9668386145910096,0.0005
16,0.2570362486797734,0.9314712045501646,0.1575893062648672,0.9603905674281503,0.0005
17,0.2534881689713303,0.9315402859971907,0.12362051679651592,0.969786293294031,0.0005
18,0.23426220761342484,0.9360536072028922,0.13502663635676931,0.9688651436993367,0.0005
19,0.2378370219759977,0.9361226886499182,0.15190013565759256,0.9642593957258658,0.0005
20,0.23544563658253476,0.9359614986068575,0.12429015597691878,0.9690493736182756,0.00025
